collision_id,crash_date_crash,crash_time_crash,borough,zip_code,latitude,longitude,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1,vehicle_type_code1
4455765,2021-09-11,2:39,UNKNOWN,,,,2,0,AGGRESSIVE DRIVING/ROAD RAGE,SEDAN
4513547,2022-03-26,11:45,UNKNOWN,,,,1,0,PAVEMENT SLIPPERY,SEDAN
4675373,2023-11-01,1:29,BROOKLYN,11230.0,40.62179,-73.970024,1,0,UNSPECIFIED,MOPED
4541903,2022-06-29,6:55,UNKNOWN,,,,0,0,FOLLOWING TOO CLOSELY,SEDAN
4566131,2022-09-21,13:21,UNKNOWN,,,,0,0,PASSING TOO CLOSELY,STATION WAGON/SPORT UTILITY VEHICLE
4623759,2023-04-26,13:30,UNKNOWN,,,,0,0,UNSPECIFIED,SEDAN
4675709,2023-11-01,7:12,UNKNOWN,,,,0,0,FOLLOWING TOO CLOSELY,SEDAN
4675769,2023-11-01,8:01,UNKNOWN,,,,0,0,FAILURE TO YIELD RIGHT-OF-WAY,SEDAN
4623865,2023-04-26,22:20,UNKNOWN,,,,0,0,UNSPECIFIED,SEDAN
4456314,2021-09-11,9:35,BROOKLYN,11208.0,40.667202,-73.8665,0,0,UNSPECIFIED,SEDAN
4486609,2021-12-14,8:13,BROOKLYN,11233.0,40.683304,-73.917274,0,0,,
4407458,2021-04-14,12:47,UNKNOWN,,,,0,0,UNSPECIFIED,DUMP
4486555,2021-12-14,17:05,UNKNOWN,,40.709183,-73.956825,0,0,PASSING TOO CLOSELY,SEDAN
4486660,2021-12-14,8:17,BRONX,10475.0,40.86816,-73.83148,2,0,UNSPECIFIED,SEDAN
4487074,2021-12-14,21:10,BROOKLYN,11207.0,40.67172,-73.8971,0,0,DRIVER INEXPERIENCE,SEDAN
4486519,2021-12-14,14:58,MANHATTAN,10017.0,40.75144,-73.97397,0,0,PASSING TOO CLOSELY,SEDAN
4486934,2021-12-13,0:34,UNKNOWN,,40.701275,-73.88887,0,0,PASSING OR LANE USAGE IMPROPER,STATION WAGON/SPORT UTILITY VEHICLE
4487127,2021-12-14,16:50,QUEENS,11413.0,40.675884,-73.75577,0,0,TURNING IMPROPERLY,SEDAN
4486634,2021-12-14,8:30,UNKNOWN,,,,0,0,UNSAFE LANE CHANGING,STATION WAGON/SPORT UTILITY VEHICLE
4486564,2021-12-14,0:59,UNKNOWN,,40.59662,-74.00231,0,0,UNSAFE SPEED,SEDAN
4486635,2021-12-14,23:10,QUEENS,11434.0,40.66684,-73.78941,2,0,REACTION TO UNINVOLVED VEHICLE,SEDAN
4486604,2021-12-14,17:58,BROOKLYN,11217.0,40.68158,-73.97463,0,0,PASSING TOO CLOSELY,TANKER
4486991,2021-12-14,20:03,BROOKLYN,11226.0,40.65068,-73.95881,4,0,STEERING FAILURE,SEDAN
4486284,2021-12-14,1:28,UNKNOWN,,,,3,0,TRAFFIC CONTROL DISREGARDED,STATION WAGON/SPORT UTILITY VEHICLE
